actions-for-nautilus-git 2.0.0.r2.gebfe7bd-1
adw-gtk-theme-git 6.4.r2.gbe28895-1
ags-hyprpanel-git r617.f9a0419-1
android-platform 37.0_r02-1
android-sdk 26.1.1-2
android-sdk-build-tools r37.0.0-2
android-sdk-platform-tools 37.0.0-1
apfs-fuse-git r101.66b86bd-3
apple-fonts 7.0.5-1
appmenu-glib-translator-git 25.04.r8.gaea4ea3-1
auto-cpufreq 3.1.0-1
aylurs-gtk-shell-git 3.1.2.r0.gbbee2f1-2
blueman-git 2.4.r68.g829caadb-1
bluez-git 1:5.83.r154.g4c431e5da-1
breeze-plus 6.28.0-1
bridge-utils 1.7.1-5
cachyos-ananicy-rules-git 20260803.r2737.g6899955b-1
catt 0.13.1-3
cbonsai-git 1.4.2.2.gfb14579-1
cpufreqctl 10.1.2-3
darkly-bin 0.5.38-1
docker-git 28.2.2+r52853+g4ac341638-1
dracula-gtk-theme v4.0.0-1
electron37 37.5.1-1
facetimehd-data 5.1.5769-2
facetimehd-dkms-git 0.7.0.1.r0.g805d865-2
facetimehd-firmware 1:1.43_5-2
ferdium-bin 7.1.2-1
gopreload-git r67.6879317-1
grimblast-git r128.8e6c02a-1
gtk-engine-murrine 0.98.2-5
gtk2 2.24.33-5
helium-browser-bin 0.15.1.1-1
hypr-kdeconnect-fix-git r12.e86a0fb-1
hyprshade 5.0.0-1
iio-sensor-proxy-git 3.7.r0.bfcf0c8-1
illogical-impulse-audio 1.0-3
illogical-impulse-backlight 1.0-2
illogical-impulse-basic 1.0-3
illogical-impulse-bibata-modern-classic-bin 2.0.6-2
illogical-impulse-fonts-themes 1.0-6
illogical-impulse-hyprland 1.0-5
illogical-impulse-kde 1.0-3
illogical-impulse-microtex-git r494.0e3707f-4
illogical-impulse-microtex-git-debug r494.0e3707f-4
illogical-impulse-portal 1.0-3
illogical-impulse-python 1.1-5
illogical-impulse-quickshell-git 0.1.0.r1-8
illogical-impulse-screencapture 1.0-2
illogical-impulse-toolkit 1.0-3
illogical-impulse-widgets 1.0-7
jquery 3.7.1-1
kdeconnect-git 25.04.1+r4915+g263e0ae38-1
libastal-4-git r853.5baeb66-1
libastal-apps-git r853.5baeb66-1
libastal-auth-git r853.5baeb66-1
libastal-battery-git r853.5baeb66-1
libastal-bluetooth-git r853.5baeb66-1
libastal-cava-git r862.41b5029-2
libastal-git r853.5baeb66-1
libastal-gjs-git r853.5baeb66-1
libastal-greetd-git r908.11842ae-1
libastal-hyprland-git r853.5baeb66-1
libastal-io-git r853.5baeb66-1
libastal-meta 1-8
libastal-mpris-git r908.11842ae-2
libastal-network-git r853.5baeb66-1
libastal-notifd-git r901.d8738f9-1
libastal-powerprofiles-git r853.5baeb66-1
libastal-river-git r861.d3fa211-1
libastal-tray-git r853.5baeb66-1
libastal-wireplumber-git r853.5baeb66-1
libastal-wl-git r862.41b5029-2
libcava 1.0.0-1
light 1.2.2-5
miraclecast-git 350.0b7f1f1-1
mkchromecast-git 0.3.8.1.r315.g6e583366-1
ncurses5-compat-libs 6.6-2
neofetch 7.1.0-2
nicotine-plus-git 3.3.10.r583.g5e970e9-1
nodejs-mjml 5.4.0-1
octopi 0.19.0-1
otf-space-grotesk 2-2
paccache-hook 1.2.0-1
pfetch 1.11.0-1
pm2ml 2021.11.20.1-15
powerpill 2021.11-15
protonup-qt 2.15.1-1
pwvucontrol 0.5.3-2
python-inputs 0.5-4
python-steam 2.0.0.alpha1-2
python3-memoizedb 2021-15
python3-xcgf 2021-15
python3-xcpf 2021.12-14
qdirstat 2.0-1
qt-sudo 2.3.0-1
qt6-avif-image-plugin 0.10.1-1
quarrel-git r901.d8738f9-1
rose-pine-hyprcursor v0.3.2.r0.d2c0e680-1
thorium-browser-bin 138.0.7204.303-2
ttf-dm-fonts-git 5.003r46.4412393-1
ttf-material-symbols-variable-git 4.0.0.r142.gbb04090f-1
ttf-readex-pro 1.204-2
ttf-rubik-vf 2.3.0-3
ttf-twemoji 17.0.2-3
upscayl-bin 2.15.0-10
uxplay 1:1.73.6-1
vscodium-bin 1.126.04524-1
wlogout 1.2.2-0
yay 13.0.1-1
yt-x-git v0.8.6.r24.gfbd2669-1
zen-browser-bin 1.21.10b-1
zsh-syntax-highlighting-git 0.8.0.r3.g5eb677b-1
