7zip 26.02-1
actions-for-nautilus-git 2.0.0.r2.gebfe7bd-1
ags-hyprpanel-git r617.f9a0419-1
alacritty 0.17.0-1
alsa-utils 1.2.16-1
ananicy-cpp 1.2.0-1
android-platform 37.0_r02-1
android-sdk 26.1.1-2
android-sdk-build-tools r37.0.0-2
android-sdk-platform-tools 37.0.0-1
apfs-fuse-git r101.66b86bd-3
apple-bcm-firmware 14.0-1
apple-fonts 7.0.5-1
apple-t2-audio-config 0.3-2
astroterm 1.2.0-1
auto-cpufreq 3.1.0-1
base 3-3
base-devel 1-2
bat 0.26.1-2
bleachbit 6.0.2-1
blueman-git 2.4.r68.g829caadb-1
bluez-git 1:5.83.r154.g4c431e5da-1
broadcom-wl-dkms 6.30.223.271-48
btop 1.4.7-1
cachyos-ananicy-rules-git 20260803.r2737.g6899955b-1
calf 0.90.9-2
catt 0.13.1-3
cbonsai-git 1.4.2.2.gfb14579-1
chafa 1.18.2-2
chromium 151.0.7922.108-1
cider 4.0.9.1-1
cmatrix 2.0-4
cpufreqctl 10.1.2-3
cpupower 7.1.7-1
crun 1.28-1
dictd 1.13.3-1
dkms 3.4.2-1
dmidecode 3.7-1
dnsmasq 2.93-1
docker-git 28.2.2+r52853+g4ac341638-1
dracula-gtk-theme v4.0.0-1
easyeffects 8.2.8-1
efibootmgr 18-4
exfatprogs 1.4.2-1
facetimehd-data 5.1.5769-2
facetimehd-dkms-git 0.7.0.1.r0.g805d865-2
fastfetch 2.66.0-1
fd 10.4.2-2
ferdium-bin 7.1.2-1
filelight 26.04.3-1
flatpak 1:1.18.0-1
foliate 3.3.0-3
fuse2 2.9.9-5
fzf 0.74.2-1
gamemode 1.8.2-3
gamescope 3.16.25-1
git 2.55.0-1
github-cli 2.97.0-1
gnome-disk-utility 46.1-3
gnome-themes-extra 1:3.28-1
gnome-tweaks 49.0-2
gnu-free-fonts 20120503-9
gopreload-git r67.6879317-1
gradle 9.6.1-1
grimblast-git r128.8e6c02a-1
grub 2:2.14-1
gst-plugin-pipewire 1:1.6.8-1
gst-plugins-bad 1.28.5-4
gst-plugins-good 1.28.5-4
gst-plugins-ugly 1.28.5-4
gst-rtsp-server 1.28.5-4
gtk-engine-murrine 0.98.2-5
gum 0.17.0-1
helium-browser-bin 0.15.1.1-1
hypr-kdeconnect-fix-git r12.e86a0fb-1
hyprpaper 0.8.4-5
hyprpolkitagent 0.1.3-8
hyprshade 5.0.0-1
iio-sensor-proxy-git 3.7.r0.bfcf0c8-1
illogical-impulse-audio 1.0-3
illogical-impulse-backlight 1.0-2
illogical-impulse-basic 1.0-3
illogical-impulse-bibata-modern-classic-bin 2.0.6-2
illogical-impulse-fonts-themes 1.0-6
illogical-impulse-hyprland 1.0-5
illogical-impulse-kde 1.0-3
illogical-impulse-microtex-git r494.0e3707f-4
illogical-impulse-microtex-git-debug r494.0e3707f-4
illogical-impulse-portal 1.0-3
illogical-impulse-python 1.1-5
illogical-impulse-quickshell-git 0.1.0.r1-8
illogical-impulse-screencapture 1.0-2
illogical-impulse-toolkit 1.0-3
illogical-impulse-widgets 1.0-7
inkscape 1.4.4-4
innoextract 1.9-16
inotify-tools 4.25.9.0-1
intel-media-driver 26.2.4-1
intel-ucode 20260512-1
iwd 3.12-1
jdk11-openjdk 11.0.32.u9-1
kdeconnect-git 25.04.1+r4915+g263e0ae38-1
kexec-tools 2.0.32-1
lib32-gamemode 1.8.2-1
lib32-libxi 1.8.3-1
lib32-libxrandr 1.5.5-1
lib32-mesa 1:26.1.6-1
lib32-ocl-icd 2.3.5-1
lib32-vulkan-intel 1:26.1.6-1
libva-intel-driver 2.4.5-1
libva-utils 2.24.0-1
light 1.2.2-5
linux-apfs-rw-dkms 1:0.3.20-1
linux-firmware 20260622-1
linux-t2 7.1.5-1
linux-t2-docs 7.1.5-1
linux-t2-headers 7.1.5-1
lsof 4.99.7-1
lsp-plugins 1.2.33-2
lutris 0.5.22-2
man-db 2.13.1-2
mangohud 0.8.4-1
mesa-utils 9.0.0-7
miraclecast-git 350.0b7f1f1-1
mkchromecast-git 0.3.8.1.r315.g6e583366-1
mosh 1.4.0-32
nautilus 50.2.2-1
ncdu 2.9.2-1
ncurses5-compat-libs 6.6-2
neofetch 7.1.0-2
neovim 0.12.4-1
nicotine-plus-git 3.3.10.r583.g5e970e9-1
nodejs-mjml 5.4.0-1
noto-fonts 1:2026.08.01-1
noto-fonts-emoji 1:2.051-1
nwg-look 1.1.1-3
obs-studio 32.2.1-3
octopi 0.19.0-1
openbsd-netcat 1.238_1-1
paccache-hook 1.2.0-1
pacman-contrib 1.13.1-1
papirus-icon-theme 20260801-1
pfetch 1.11.0-1
pipewire-alsa 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-libcamera 1:1.6.8-1
plasma-browser-integration 6.7.4-1
poppler 26.07.0-1
power-profiles-daemon 0.30-1
powerpill 2021.11-15
proton-vpn-cli 1.0.1-1
protonup-qt 2.15.1-1
pwvucontrol 0.5.3-2
python 3.14.6-1
python-dbus 1.4.0-2
python-pip 26.2.1-1
python-pipx 1.15.0-1
python-poetry-core 2.4.1-1
python-yaml 6.0.3-2
qbittorrent 5.2.3-3
qdirstat 2.0-1
qemu-base 11.0.3-1
qt6-avif-image-plugin 0.10.1-1
qt6-connectivity 6.11.1-1
qt6-multimedia-ffmpeg 6.11.1-1
realtime-privileges 5-1
reflector 2023-5
rofi 2.0.0-1
rose-pine-hyprcursor v0.3.2.r0.d2c0e680-1
s-tui 1.4.0-1
sddm 0.21.0-7
sdl2_image 2.8.12-2
sdl2_mixer 2.8.2-1
sdl2_ttf 2.24.0-2
sof-firmware 2025.12.2-1
solaar 1.1.20-2
sox 14.8.0.1-1
speedtest-cli 2.1.3-10
stress-ng 0.21.04-2
sudo 1.9.17.p2-6
sushi 50.0-1
t2fanrd r16.48baf96-1
thefuck 3.32-13
thermald 2:2.5.12-1
thorium-browser-bin 138.0.7204.303-2
thunderbird 153.0-1
tiny-dfr v0.3.7.r8.g3f666f9-1
tmux 3.7_b-1
ttf-cascadia-code-nerd 3.5.0-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-dm-fonts-git 5.003r46.4412393-1
ttf-jetbrains-mono 2.304-2
ttf-sourcecodepro-nerd 3.5.0-1
ueberzugpp 2.9.10-1
upscayl-bin 2.15.0-10
usbutils 019-1
uwsm 0.26.6-1
uxplay 1:1.73.6-1
vala 0.56.19-1
vde2 2.3.3-9
virt-manager 5.1.0-4
virt-viewer 11.0-4
vscodium-bin 1.126.04524-1
vulkan-intel 1:26.1.6-1
vulkan-tools 1.4.357.0-1
waybar 0.15.0-2
wev 1.1.0-1
wine-staging 11.14-2
winetricks 20260125-2
wlr-randr 0.5.0-1
wlroots0.18 0.18.3-1
wmctrl 1.07-6
wofi 1.5.3-1
xdg-desktop-portal-gnome 50.0-1
xdg-desktop-portal-wlr 0.8.2-1
yay 13.0.1-1
yazi 26.5.6-4
yt-x-git v0.8.6.r24.gfbd2669-1
zathura-cb 2026.07.18-1
zathura-pdf-mupdf 2026.07.18-1
zen-browser-bin 1.21.10b-1
zenity 4.2.2-1
zip 3.0-13
zoxide 0.10.0-1
zram-generator 1.2.1-1
zsh 5.9.2-1
zsh-autosuggestions 0.7.1-1
zsh-syntax-highlighting-git 0.8.0.r3.g5eb677b-1
